2017-07-20 08:39:03,063 | INFO | CamelLogger.java 159 | Exchange[ExchangePattern: InOnly, Headers: {breadcrumbId=ID-6c4008c0f7fa-1500557940673-0-2, CamelFileAbsolute=false, CamelFileAbsolutePath=/Dilip/Study/ApacheCamel/TeachApacheCamel/codebase/learn-camel-eips/input/Index.html, CamelFileLastModified=1492777602000, CamelFileLength=123, CamelFileName=Index.html, CamelFileNameConsumed=Index.html, CamelFileNameOnly=Index.html, CamelFileParent=input, CamelFilePath=input/Index.html, CamelFileRelativePath=Index.html}, BodyType: org.apache.camel.component.file.GenericFile, Body: [Body is file based: GenericFile[Index.html]]]
2017-07-20 08:39:03,066 | INFO | CamelLogger.java 159 | Exchange[ExchangePattern: InOnly, Headers: {breadcrumbId=ID-6c4008c0f7fa-1500557940673-0-3, CamelFileAbsolute=false, CamelFileAbsolutePath=/Dilip/Study/ApacheCamel/TeachApacheCamel/codebase/learn-camel-eips/input/input.txt, CamelFileLastModified=1500526501000, CamelFileLength=18, CamelFileName=input.txt, CamelFileNameConsumed=input.txt, CamelFileNameOnly=input.txt, CamelFileParent=input, CamelFilePath=input/input.txt, CamelFileRelativePath=input.txt}, BodyType: org.apache.camel.component.file.GenericFile, Body: [Body is file based: GenericFile[input.txt]]]
2017-07-20 08:39:07,013 | INFO | CamelTestSupport.java 388 | ********************************************************************************
2017-07-20 08:39:07,015 | INFO | CamelTestSupport.java 389 | Testing done: contentBasedRouterTest(com.learncamel.eip.contentbasedrouter.ContentBasedRouterTest)
2017-07-20 08:39:07,015 | INFO | CamelTestSupport.java 390 | Took: 5.003 seconds (5003 millis)
2017-07-20 08:39:07,015 | INFO | CamelTestSupport.java 419 | ********************************************************************************
2017-07-20 08:39:07,016 | INFO | DefaultCamelContext.java 3364 | Apache Camel 2.20.0-SNAPSHOT (CamelContext: camel-1) is shutting down
2017-07-20 08:39:07,017 | INFO | DefaultShutdownStrategy.java 195 | Starting to graceful shutdown 1 routes (timeout 10 seconds)
2017-07-20 08:39:07,021 | INFO | DefaultShutdownStrategy.java 671 | Route: route1 shutdown complete, was consuming from: file://input?noop=true
2017-07-20 08:39:07,022 | INFO | DefaultShutdownStrategy.java 260 | Graceful shutdown of 1 routes completed in 0 seconds
2017-07-20 08:39:07,038 | INFO | DefaultCamelContext.java 3452 | Apache Camel 2.20.0-SNAPSHOT (CamelContext: camel-1) uptime 5.449 seconds
2017-07-20 08:39:07,039 | INFO | DefaultCamelContext.java 3453 | Apache Camel 2.20.0-SNAPSHOT (CamelContext: camel-1) is shutdown in 0.023 seconds
2017-07-20 08:40:05,580 | INFO | CamelTestSupport.java 242 | ********************************************************************************
2017-07-20 08:40:05,585 | INFO | CamelTestSupport.java 243 | Testing: contentBasedRouterTest(com.learncamel.eip.contentbasedrouter.ContentBasedRouterTest)
2017-07-20 08:40:05,586 | INFO | CamelTestSupport.java 244 | ********************************************************************************
2017-07-20 08:40:06,384 | INFO | DefaultCamelContext.java 3031 | Apache Camel 2.20.0-SNAPSHOT (CamelContext: camel-1) is starting
2017-07-20 08:40:06,385 | INFO | DefaultManagementStrategy.java 232 | JMX is disabled
2017-07-20 08:40:06,475 | INFO | DefaultTypeConverter.java 66 | Type converters loaded (core: 192, classpath: 1)
2017-07-20 08:40:06,750 | INFO | DefaultCamelContext.java 3333 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2017-07-20 08:40:06,759 | INFO | FileEndpoint.java 104 | Endpoint is configured with noop=true so forcing endpoint to be idempotent as well
2017-07-20 08:40:06,759 | INFO | FileEndpoint.java 110 | Using default memory based idempotent repository with cache max size: 1000
